isolate_id_orig,Isolate_ID(GL),Strain_Number,lineage,Host_genus,Host_species,Year,Country,State,County,Town,Host_Environment,Sample_Type,GPS Coordinates,lat,lon,List,Notes,Duplicate
7881-G11,PR-17-100,15780,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.2934,-124.39951,CurryCo_List/GLCC_DB,,
7613-H7,PR-17-122,15790,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29417,-124.39967,CurryCo_List/GLCC_DB,,
7881-G9,PR-17-128,15800,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.3029,-124.39862,CurryCo_List/GLCC_DB,,
7613-C4,PR-17-130,15802,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30304,-124.39926,CurryCo_List/GLCC_DB,,
7613-A11,PR-17-165,15814,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29689,-124.40076,CurryCo_List/GLCC_DB,,
7613-C3,PR-17-167,15823,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29354,-124.39828,CurryCo_List/GLCC_DB,,
7613-D4,PR-17-192,15833,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30286,-124.40084,CurryCo_List/GLCC_DB,,
7881-G8,PR-17-212,15834,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30525,-124.40121,CurryCo_List/GLCC_DB,,
7613-G1,PR-17-216,15840,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29595,-124.39743,CurryCo_List/GLCC_DB,,
7613-C8,PR-17-218,15844,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29356,-124.39486,CurryCo_List/GLCC_DB,,
7613-G8,PR-17-294,15847,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30508,-124.39986,CurryCo_List/GLCC_DB,,
7613-H8,PR-17-295,15848,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30552,-124.39943,CurryCo_List/GLCC_DB,,
7613-E9,PR-17-297,15850,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30584,-124.40054,CurryCo_List/GLCC_DB,,
7613-F3,PR-17-228,15855,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29282,-124.39279,CurryCo_List/GLCC_DB,,
7613-A7,PR-17-220,15856,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29331,-124.39374,CurryCo_List/GLCC_DB,,
7613-E2,PR-17-275,15865,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29325,-124.39245,CurryCo_List/GLCC_DB,,
7613-D2,PR-17-244,15874,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.2932,-124.39419,CurryCo_List/GLCC_DB,,
7613-A10,PR-17-245,15875,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29196,-124.39355,CurryCo_List/GLCC_DB,,
7881-G7,PR-17-247,15877,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29146,-124.39326,CurryCo_List/GLCC_DB,,
7613-G10,PR-17-250,15881,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30639,-124.40017,CurryCo_List/GLCC_DB,,
7613-B2,PR-17-299,15900,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30658,-124.40266,CurryCo_List/GLCC_DB,,
7613-H6,PR-17-301,15903,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30692,-124.40102,CurryCo_List/GLCC_DB,,
7613-E6,PR-17-314,15916,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.293,-124.39806,CurryCo_List/GLCC_DB,,
7613-H10,PR-17-315,15917,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.2947,-124.39073,CurryCo_List/GLCC_DB,,
7613-F6,PR-17-333,15919,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29836,-124.39231,CurryCo_List/GLCC_DB,,
7613-A6,PR-17-363,15937,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.32046,-124.40215,CurryCo_List/GLCC_DB,,
7881-H10,PR-17-374,15938,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.33006,-124.40855,CurryCo_List/GLCC_DB,,
