country	county	date	genus	host	host_genus	host_species	latitude	lineage	longitude	mating_type	person	species	state	strain	town
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-G8	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-H8	?
Vietnam	?	2018	Phytophthora	?	?	?	?	VN	?	?	T.Jung	ramorum	?	PR-18-062_VN	?
Vietnam	?	2018	Phytophthora	?	?	?	?	VN	?	?	T.Jung	ramorum	?	PR-18-068_VN	?
Vietnam	?	2018	Phytophthora	?	?	?	?	VN	?	?	T.Jung	ramorum	?	PR-18-069_VN	?
Vietnam	?	2018	Phytophthora	?	?	?	?	VN	?	?	T.Jung	ramorum	?	PR-18-074_VN	?
Vietnam	?	2018	Phytophthora	?	?	?	?	VN	?	?	T.Jung	ramorum	?	PR-18-096_VN	?
Vietnam	?	2018	Phytophthora	?	?	?	?	VN	?	?	T.Jung	ramorum	?	PR-18-108_VN	?
Japan	?	2018	Phytophthora	?	?	?	?	JP	?	?	T.Jung	ramorum	?	PR-18-126_JP	?
Japan	?	2018	Phytophthora	?	?	?	?	JP	?	?	T.Jung	ramorum	?	PR-18-128_JP	?
Japan	?	2018	Phytophthora	?	?	?	?	JP	?	?	T.Jung	ramorum	?	PR-18-130_JP	?
Japan	?	2018	Phytophthora	?	?	?	?	JP	?	?	T.Jung	ramorum	?	PR-18-132_JP	?
Japan	?	2018	Phytophthora	?	?	?	?	JP	?	?	T.Jung	ramorum	?	PR-18-133_JP	?
Japan	?	2018	Phytophthora	?	?	?	?	JP	?	?	T.Jung	ramorum	?	PR-18-134_JP	?
?	?	?	Phytophthora	?	?	?	?	LAT	?	?	?	lateralis	?	Plat_MPF4	?
?	?	?	Phytophthora	?	?	?	?	LAT	?	?	?	lateralis	?	Plat_MPF6	?
?	?	?	Phytophthora	?	?	?	?	LAT	?	?	?	lateralis	?	Plat_RH_5	?
?	?	?	Phytophthora	?	?	?	?	LAT	?	?	?	lateralis	?	Plat_SMST21	?
?	?	?	Phytophthora	?	?	?	?	LAT	?	?	?	lateralis	?	Plat_SMSTG	?
?	?	?	Phytophthora	?	?	?	?	NA2	?	A2	?	ramorum	?	Pram_06-0012_NA2	?
?	?	?	Phytophthora	?	?	?	?	NA2	?	A2	?	ramorum	?	Pram_07-17204_NA2	?
?	?	?	Phytophthora	?	?	?	?	NA2	?	A2	?	ramorum	?	Pram_10-3885_NA2	?
N.Ireland	Down	2007	Phytophthora	English oak	Quercus	robur	?	EU2	?	A1	A.McCracken	ramorum	?	Pram_P2111_EU2	?
?	?	2010	Phytophthora	Japanese larch	Larix	kaempferi	?	EU2	?	A1	A.McCracken	ramorum	?	Pram_P2460_EU2	Woodburn
N.Ireland	Antrim	2010	Phytophthora	Japanese larch	Larix	kaempferi	?	EU2	?	A1	A.McCracken	ramorum	?	Pram_P2461_EU2	?
Scotland	South Ayrshire	2011	Phytophthora	Japanese larch	Larix	kaempferi	?	EU2	?	A1	A.McCracken	ramorum	?	Pram_P2561_EU2	Loch Hill
Scotland	South Ayrshire	2011	Phytophthora	Japanese larch	Larix	kaempferi	?	EU2	?	A1	C.Bradley	ramorum	?	Pram_P2586_EU2	Glenblainyvaird Loch
Germany	?	2001	Phytophthora	Rhododendron	Rhododendron	?	?	EU1	?	A1	S.Werres	ramorum	?	Pram_PR-01-018_EU1	?
UK	?	2002	Phytophthora	Rhododendron	Rhododendron	grandiflora	?	EU1	?	A1	S.Werres	ramorum	?	Pram_PR-08-028_EU1	?
USA	Sacramento	2008	Phytophthora	Rhododendron	Rhododendron	?	?	NA2	?	A2	C.Blomquist	ramorum	CA	Pram_PR-09-054_NA2	?
USA	Clackamas	2009	Phytophthora	Rhododendron	Rhododendron	?	?	EU1	?	A1	N.Osterbauer	ramorum	OR	Pram_PR-09-150_EU1	?
USA	Multnomah	2010	Phytophthora	Rhododendron	Rhododendron	spp	?	EU1	?	A1	N.Osterbauer	ramorum	OR	Pram_PR-10-145_EU1	Gresham
Germany	?	1999	Phytophthora	Viburnum	Viburnum	bodnantense	?	EU1	?	A1	S.Werres	ramorum	?	Pram_PR-99-002_EU1	?
USA	?	2004	Phytophthora	Rhododendron	Rhododendron	?	?	NA2	?	A2	M.Garbelotto	ramorum	WA	Pram_PR_05_166_NA2	?
USA	Washington	2006	Phytophthora	Camellia	Camellia	japonica	?	NA1	?	A2	N.Osterbauer	ramorum	OR	Pram_PR_06_016_NA1	?
USA	Cobb	2004	Phytophthora	Camellia	Camellia	sasanqua	?	NA1	?	A2	J.Ristaino	ramorum	GA	Pram_PR_07_135_NA1	Alpharetta
USA	?	2009	Phytophthora	Rhododendron	Rhododendron	catawbiense	?	NA1	?	A2	S.Jeffers	ramorum	SC	Pram_PR_09_126_NA1	?
USA	Greenville	2010	Phytophthora	Kalmia	Kalmia	latifolia	?	NA1	?	A2	S.Jeffers	ramorum	SC	Pram_PR_10_103_NA1	Greenville
USA	Curry	2011	Phytophthora	Tanoak	Notholithocarpus	densiflorus	?	NA1	?	A2	E.Hansen	ramorum	OR	Pram_PR_11_004_NA1	?
